,OSEBuildingID,PrimaryPropertyType,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,SteamUse,Electricity,NaturalGas,PropertyGFABuilding(s)Pct,PropertyGFAParkingPct,LargestPropertyUseTypeGFAPct,SecondLargestPropertyUseTypeGFAPct,ThirdLargestPropertyUseTypeGFAPct,BuildingType_is_campus,BuildingType_is_NonResidential,BuildingType_is_Nonresidential_COS,BuildingType_is_Nonresidential_WA
183,358,Large Office,47.60421,-122.32919,2001,1,14,0,310490,Office,269284.0,Other,28394.0,Data Center,600.0,,21960822.0,380.37,False,True,True,100.0,0.0,86.72871912138878,9.144899996779284,0.19324293858095268,0.0,0.0,1.0,0.0
184,359,Large Office,47.60377,-122.32971,2003,1,8,30660,168870,Office,160418.0,Parking,18590.0,Other,17480.0,69.0,13972700.0,298.61,False,True,True,84.63388964065554,15.366110359344459,94.99496654231065,11.00846805234796,10.35115769526855,0.0,0.0,1.0,0.0
185,360,Large Office,47.60249,-122.32854,2006,1,13,52703,319539,Office,319539.0,Parking,52703.0,NotUsed,0.0,98.0,13862720.0,216.24,False,True,True,85.84173736440273,14.158262635597273,100.0,16.493448374063885,0.0,0.0,1.0,0.0,0.0
186,361,Large Office,47.60193,-122.32812,1909,1,7,8296,106099,Office,96582.0,NotUsed,0.0,NotUsed,0.0,99.0,2970604.25,70.17,False,True,True,92.74793478735958,7.252065212640413,91.03007568403095,0.0,0.0,0.0,1.0,0.0,0.0
187,363,Retail Store,47.66024,-122.31278,1978,1,2,0,89200,Retail Store,89200.0,NotUsed,0.0,NotUsed,0.0,83.0,6707359.5,89.47,False,True,True,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
188,364,Large Office,47.66072,-122.31466,1971,1,23,0,474546,Office,474546.0,NotUsed,0.0,NotUsed,0.0,77.0,29997380.0,198.34,False,True,False,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
189,365,Other,47.6606,-122.31512,1969,1,5,0,36000,Data Center,36000.0,NotUsed,0.0,NotUsed,0.0,96.0,30038490.0,209.41,False,True,False,100.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0
190,366,Small- and Mid-Sized Office,47.661,-122.31626,1961,1,5,0,99005,Office,79555.0,NotUsed,0.0,NotUsed,0.0,70.0,5008123.5,119.03,False,True,True,100.0,0.0,80.35452754911368,0.0,0.0,0.0,1.0,0.0,0.0
191,367,Large Office,47.66065,-122.31689,2002,1,6,44248,90803,Office,95943.0,Parking,42500.0,NotUsed,0.0,88.0,4426136.0,30.86,False,True,False,67.23608118414525,32.76391881585475,105.66060592711695,46.80462099269848,0.0,0.0,1.0,0.0,0.0
192,368,Large Office,47.65999,-122.31741,2002,1,5,82720,137929,Office,145754.0,Parking,90000.0,NotUsed,0.0,93.0,7046345.5,49.12,False,True,False,62.5105937484421,37.4894062515579,105.67320867982802,65.25096245169617,0.0,0.0,1.0,0.0,0.0
